category_id,category_name,category_path,parent_category_id,parent_category_path,depth,root_category_name,term_count,direct_term_count,source,review_status
CAT_00178,수산업정책·제도·법령,경제·산업>수산업>수산업정책·제도·법령,CAT_00031,경제·산업>수산업,3,경제·산업,16,16,history_terms.term_lk,PENDING
CAT_00179,고등교육기관,교육>근대교육기관>고등교육기관,CAT_00038,교육>근대교육기관,3,교육,359,359,history_terms.term_lk,PENDING
CAT_00180,사설학원,교육>근대교육기관>사설학원,CAT_00038,교육>근대교육기관,3,교육,13,13,history_terms.term_lk,PENDING
CAT_00181,사회교육기관,교육>근대교육기관>사회교육기관,CAT_00038,교육>근대교육기관,3,교육,2,2,history_terms.term_lk,PENDING
CAT_00182,실업교육기관,교육>근대교육기관>실업교육기관,CAT_00038,교육>근대교육기관,3,교육,31,31,history_terms.term_lk,PENDING
CAT_00183,유아교육기관,교육>근대교육기관>유아교육기관,CAT_00038,교육>근대교육기관,3,교육,1,1,history_terms.term_lk,PENDING
CAT_00184,중등교육기관,교육>근대교육기관>중등교육기관,CAT_00038,교육>근대교육기관,3,교육,620,620,history_terms.term_lk,PENDING
CAT_00185,초등교육기관,교육>근대교육기관>초등교육기관,CAT_00038,교육>근대교육기관,3,교육,850,850,history_terms.term_lk,PENDING
CAT_00186,특수교육기관,교육>근대교육기관>특수교육기관,CAT_00038,교육>근대교육기관,3,교육,365,365,history_terms.term_lk,PENDING
CAT_00187,해외민족교육학교,교육>근대교육기관>해외민족교육학교,CAT_00038,교육>근대교육기관,3,교육,93,93,history_terms.term_lk,PENDING
CAT_00188,사병,국방·군사>군>사병,CAT_00049,국방·군사>군,3,국방·군사,10,10,history_terms.term_lk,PENDING
CAT_00189,중앙군,국방·군사>군>중앙군,CAT_00049,국방·군사>군,3,국방·군사,287,287,history_terms.term_lk,PENDING
CAT_00190,지방군,국방·군사>군>지방군,CAT_00049,국방·군사>군,3,국방·군사,154,154,history_terms.term_lk,PENDING
CAT_00191,특수군,국방·군사>군>특수군,CAT_00049,국방·군사>군,3,국방·군사,108,108,history_terms.term_lk,PENDING
CAT_00192,군복·군장류,국방·군사>군수품>군복·군장류,CAT_00055,국방·군사>군수품,3,국방·군사,23,23,history_terms.term_lk,PENDING
CAT_00193,군사통신용품,국방·군사>군수품>군사통신용품,CAT_00055,국방·군사>군수품,3,국방·군사,24,24,history_terms.term_lk,PENDING
CAT_00194,군수품일반,국방·군사>군수품>군수품일반,CAT_00055,국방·군사>군수품,3,국방·군사,16,16,history_terms.term_lk,PENDING
CAT_00195,무기류,국방·군사>군수품>무기류,CAT_00055,국방·군사>군수품,3,국방·군사,187,187,history_terms.term_lk,PENDING
CAT_00196,표신,국방·군사>군수품>표신,CAT_00055,국방·군사>군수품,3,국방·군사,147,147,history_terms.term_lk,PENDING
CAT_00197,함선·전투기·군사차량,국방·군사>군수품>함선·전투기·군사차량,CAT_00055,국방·군사>군수품,3,국방·군사,50,50,history_terms.term_lk,PENDING
CAT_00198,가족제도,사회·생활>가족·친족>가족제도,CAT_00073,사회·생활>가족·친족,3,사회·생활,32,32,history_terms.term_lk,PENDING
CAT_00199,친족관계,사회·생활>가족·친족>친족관계,CAT_00073,사회·생활>가족·친족,3,사회·생활,145,145,history_terms.term_lk,PENDING
CAT_00200,호구·호적,사회·생활>가족·친족>호구·호적,CAT_00073,사회·생활>가족·친족,3,사회·생활,64,64,history_terms.term_lk,PENDING
CAT_00201,구휼,사회·생활>보건·복지>구휼,CAT_00076,사회·생활>보건·복지,3,사회·생활,67,67,history_terms.term_lk,PENDING
