target_round,recent5_rounds,source,source_name,usage,trend_type,rank,era,topic_train,topic,topic_summary,label,combo_label,combo_label_with_topic,count,ratio,ratio_percent
72,67~71,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,topic,5,,,정치,,정치,,,5,0.1,10.0
72,67~71,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,topic,1,,,사건,,사건,,,12,0.24,24.0
72,67~71,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,topic,2,,,정치,,정치,,,10,0.2,20.0
72,67~71,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,topic,3,,,인물,,인물,,,8,0.16,16.0
72,67~71,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,topic,4,,,제도,,제도,,,5,0.1,10.0
72,67~71,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,topic,5,,,문화,,문화,,,5,0.1,10.0
73,68~72,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,era_topic_train,1,개항기,사건,,사건 22,개항기 + 사건,개항기 + 사건,개항기 + 사건 (사건 22),22,0.088,8.8
73,68~72,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,era_topic_train,2,조선,인물,,인물 16,조선 + 인물,조선 + 인물,조선 + 인물 (인물 16),16,0.064,6.4
73,68~72,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,era_topic_train,3,일제 강점기,사건,,사건 15,일제 강점기 + 사건,일제 강점기 + 사건,일제 강점기 + 사건 (사건 15),15,0.06,6.0
73,68~72,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,era_topic_train,4,일제 강점기,정치,,"정치 6, 군사 4, 사회 3",일제 강점기 + 정치,일제 강점기 + 정치,"일제 강점기 + 정치 (정치 6, 군사 4, 사회 3)",14,0.056,5.6
